layer,mapfile,wmslaag
gemeenten_niet_westerse_allochtonen,bevolking_herkomst.map,gemeenten_niet_westerse_allochtonen
wijken_niet_westerse_allochtonen,bevolking_herkomst.map,wijken_niet_westerse_allochtonen
buurten_niet_westerse_allochtonen,bevolking_herkomst.map,buurten_niet_westerse_allochtonen
gemeenten_westerse_allochtonen,bevolking_herkomst.map,gemeenten_westerse_allochtonen
wijken_westerse_allochtonen,bevolking_herkomst.map,wijken_westerse_allochtonen
buurten_westerse_allochtonen,bevolking_herkomst.map,buurten_westerse_allochtonen
gemeenten_marokkanen,bevolking_herkomst.map,gemeenten_marokkanen
wijken_marokkanen,bevolking_herkomst.map,wijken_marokkanen
buurten_marokkanen,bevolking_herkomst.map,buurten_marokkanen
gemeenten_antillianen_en_arubanen,bevolking_herkomst.map,gemeenten_antillianen_en_arubanen
wijken_antillianen_en_arubanen,bevolking_herkomst.map,wijken_antillianen_en_arubanen
buurten_antillianen_en_arubanen,bevolking_herkomst.map,buurten_antillianen_en_arubanen
gemeenten_surinamers,bevolking_herkomst.map,gemeenten_surinamers
wijken_surinamers,bevolking_herkomst.map,wijken_surinamers
buurten_surinamers,bevolking_herkomst.map,buurten_surinamers
gemeenten_turken,bevolking_herkomst.map,gemeenten_turken
wijken_turken,bevolking_herkomst.map,wijken_turken
buurten_turken,bevolking_herkomst.map,buurten_turken
gemeenten_overig_niet_westers,bevolking_herkomst.map,gemeenten_overig_niet_westers
wijken_overig_niet_westers,bevolking_herkomst.map,wijken_overig_niet_westers
buurten_overig_niet_westers,bevolking_herkomst.map,buurten_overig_niet_westers
gemeenten_niet_westerse_allochtonen_geo,bevolking_herkomst.map,gemeenten_niet_westerse_allochtonen_geo
wijken_niet_westerse_allochtonen_geo,bevolking_herkomst.map,wijken_niet_westerse_allochtonen_geo
buurten_niet_westerse_allochtonen_geo,bevolking_herkomst.map,buurten_niet_westerse_allochtonen_geo
gemeenten_niet_westerse_allochtonen_2010,bevolking_herkomst_2010.map,gemeenten_niet_westerse_allochtonen_2010
wijken_niet_westerse_allochtonen_2010,bevolking_herkomst_2010.map,wijken_niet_westerse_allochtonen_2010
buurten_niet_westerse_allochtonen_2010,bevolking_herkomst_2010.map,buurten_niet_westerse_allochtonen_2010
gemeenten_westerse_allochtonen_2010,bevolking_herkomst_2010.map,gemeenten_westerse_allochtonen_2010
wijken_westerse_allochtonen_2010,bevolking_herkomst_2010.map,wijken_westerse_allochtonen_2010
buurten_westerse_allochtonen_2010,bevolking_herkomst_2010.map,buurten_westerse_allochtonen_2010
gemeenten_marokkanen_2010,bevolking_herkomst_2010.map,gemeenten_marokkanen_2010
wijken_marokkanen_2010,bevolking_herkomst_2010.map,wijken_marokkanen_2010
buurten_marokkanen_2010,bevolking_herkomst_2010.map,buurten_marokkanen_2010
gemeenten_antillianen_en_arubanen_2010,bevolking_herkomst_2010.map,gemeenten_antillianen_en_arubanen_2010
wijken_antillianen_en_arubanen_2010,bevolking_herkomst_2010.map,wijken_antillianen_en_arubanen_2010
buurten_antillianen_en_arubanen_2010,bevolking_herkomst_2010.map,buurten_antillianen_en_arubanen_2010
gemeenten_surinamers_2010,bevolking_herkomst_2010.map,gemeenten_surinamers_2010
wijken_surinamers_2010,bevolking_herkomst_2010.map,wijken_surinamers_2010
buurten_surinamers_2010,bevolking_herkomst_2010.map,buurten_surinamers_2010
gemeenten_turken_2010,bevolking_herkomst_2010.map,gemeenten_turken_2010
wijken_turken_2010,bevolking_herkomst_2010.map,wijken_turken_2010
buurten_turken_2010,bevolking_herkomst_2010.map,buurten_turken_2010
gemeenten_overig_niet_westers_2010,bevolking_herkomst_2010.map,gemeenten_overig_niet_westers_2010
wijken_overig_niet_westers_2010,bevolking_herkomst_2010.map,wijken_overig_niet_westers_2010
buurten_overig_niet_westers_2010,bevolking_herkomst_2010.map,buurten_overig_niet_westers_2010
gemeenten_huishoudensgrootte,bevolking_huishoudens.map,gemeenten_huishoudensgrootte
wijken_huishoudensgrootte,bevolking_huishoudens.map,wijken_huishoudensgrootte
buurten_huishoudensgrootte,bevolking_huishoudens.map,buurten_huishoudensgrootte
gemeenten_huishoudens_eenpersoons,bevolking_huishoudens.map,gemeenten_huishoudens_eenpersoons
wijken_huishoudens_eenpersoons,bevolking_huishoudens.map,wijken_huishoudens_eenpersoons
buurten_huishoudens_eenpersoons,bevolking_huishoudens.map,buurten_huishoudens_eenpersoons
gemeenten_huishoudens_zonder_kinderen,bevolking_huishoudens.map,gemeenten_huishoudens_zonder_kinderen
wijken_huishoudens_zonder_kinderen,bevolking_huishoudens.map,wijken_huishoudens_zonder_kinderen
buurten_huishoudens_zonder_kinderen,bevolking_huishoudens.map,buurten_huishoudens_zonder_kinderen
gemeenten_huishoudens_met_kinderen,bevolking_huishoudens.map,gemeenten_huishoudens_met_kinderen
wijken_huishoudens_met_kinderen,bevolking_huishoudens.map,wijken_huishoudens_met_kinderen
buurten_huishoudens_met_kinderen,bevolking_huishoudens.map,buurten_huishoudens_met_kinderen
gemeenten_huishoudens_grootste_groep,bevolking_huishoudens.map,gemeenten_huishoudens_grootste_groep
wijken_huishoudens_grootste_groep,bevolking_huishoudens.map,wijken_huishoudens_grootste_groep
buurten_huishoudens_grootste_groep,bevolking_huishoudens.map,buurten_huishoudens_grootste_groep
gemeenten_huishoudensgrootte_2010,bevolking_huishoudens_2010.map,gemeenten_huishoudensgrootte_2010
wijken_huishoudensgrootte_2010,bevolking_huishoudens_2010.map,wijken_huishoudensgrootte_2010
buurten_huishoudensgrootte_2010,bevolking_huishoudens_2010.map,buurten_huishoudensgrootte_2010
gemeenten_huishoudens_eenpersoons_2010,bevolking_huishoudens_2010.map,gemeenten_huishoudens_eenpersoons_2010
wijken_huishoudens_eenpersoons_2010,bevolking_huishoudens_2010.map,wijken_huishoudens_eenpersoons_2010
buurten_huishoudens_eenpersoons_2010,bevolking_huishoudens_2010.map,buurten_huishoudens_eenpersoons_2010
