country    population roads      size       
Afghanistan   33332025      42150     652230
Albania        3038594      18000      28748
Algeria       40263711     113655    2381741
American Sa      54194        241        199
Andorra          85660        320        468
Angola        20172332      51429    1246700
Anguilla         16752        175         91
Antigua and      93581       1170        443
Argentina     43886748     231374    2780400
Armenia        3051250       7792      29743
Australia     22992654     823217    7741220
Austria        8711770     133597      83871
Azerbaijan     9872765      52942      86600
Bahamas, Th     327316       2700      13880
Bahrain        1378904       4122        760
Bangladesh   156186882      21269     143998
Barbados        291495       1600        430
Belarus        9570376      86392     207600
Belgium       11409077     154012      30528
Belize          353858       2870      22966
Benin         10741458      16000     112622
Bermuda          70537        447         54
Bhutan          750125      10578      38394
Bolivia       10969649      80488    1098581
Bosnia and     3861912      22926      51197
Botswana       2209208      17916     581730
Brazil       205823665    1580964    8514877
British Vir      34232        200        151
Brunei          436620       3029       5765
Bulgaria       7144653      19512     110879
Burkina Fas   19512533      15272     274200
Burma         56890418      34377     676578
Burundi       11099298      12322      27830
Cabo Verde      553432       1350       4033
Cambodia      15957223      44709     181035
Cameroon      24360803      51350     475440
Canada        35362905    1042300    9984670
Cayman Isla      57268        785        264
Central Afr    5507257      20278     622984
Chad          11852462      40000    1284000
Chile         17650114      77764     756102
China       1373541278    4106387    9596960
Christmas I       2205        140        135
Cocos (Keel        596         22         14
Colombia      47220856     204855    1138910
Comoros         794678        880       2235
Congo, Demo   81331050     153497    2344858
Congo, Repu    4852412      17000     342000
Cook Island       9556        320        236
Costa Rica     4872543      39018      51100
Cote d'Ivoi   23740424      81996     322463
Croatia        4313707      26958      56594
Cuba          11179995      60858     110860
Curacao         149035        550        444
Cyprus         1205575      20006       9251
Czechia       10644842     130661      78867
Denmark        5593785      74497      43094
Djibouti        846687       3065      23200
Dominica         73757       1512        751
Dominican R   10606865      19705      48670
Ecuador       16080778      43670     283561
Egypt         94666993     137430    1001450
El Salvador    6156670       6918      21041
Equatorial      759451       2880      28051
Eritrea        5869869       4010     117600
Estonia        1258545      58412      45228
Ethiopia     102374044     110414    1104300
Falkland Is       2931        440      12173
Faroe Islan      50456        960       1393
Fiji            915303       3440      18274
Finland        5498211     454000     338145
France        66836154    1028446     643801
French Poly     285321       2590       4167
Gabon          1738541       9170     267667
Gambia, The    2009648       3740      11295
Georgia        4928052      19109      69700
Germany       80722792     645000     357022
Ghana         26908262     109515     238533
Gibraltar        29328         29          7
Greece        10773253     116960     131957
Grenada         111219       1127        344
Guam            162742       1045        544
Guatemala     15189958      17332     108889
Guinea        12093349      44348     245857
Guinea-Biss    1759159       3455      36125
Guyana          735909       7970     214969
Haiti         10485800       4266      27750
Honduras       8893259      14742     112090
