country,continent,development,population,roads,size,osmdistancekm,osmdistancemiles,coverage,iso_n3
Afghanistan,Asia,1,33332025,42150,652230,40877,25400,0.9698,004
Albania,Europe,1,3038594,18000,28748,21910,13614,1.2172,008
Algeria,Africa,1,40263711,113655,2381741,158442,98451,1.3941,012
American Samoa,Oceania,1,54194,241,199,333,207,1.3823,null
Andorra,Europe,1,85660,320,468,465,289,1.4534,null
Angola,Africa,1,20172332,51429,1246700,64079,39817,1.2460,024
Anguilla,North-America,1,16752,175,91,267,166,1.5266,null
Antigua and Barbuda,North-America,1,93581,1170,443,1217,756,1.0399,null
Argentina,South-America,1,43886748,231374,2780400,595469,370007,2.5736,032
Armenia,Asia,1,3051250,7792,29743,20612,12808,2.6453,051
Australia,Oceania,1,22992654,823217,7741220,784084,487207,0.9525,036
Austria,Europe,1,8711770,133597,83871,158401,98426,1.1857,040
Azerbaijan,Asia,1,9872765,52942,86600,45627,28351,0.8618,031
"Bahamas, The",North-America,1,327316,2700,13880,5436,3378,2.0135,044
Bahrain,Asia,1,1378904,4122,760,3658,2273,0.8874,null
Bangladesh,Asia,1,156186882,21269,143998,33494,20812,1.5748,050
Barbados,North-America,1,291495,1600,430,2102,1306,1.3136,null
Belarus,Europe,1,9570376,86392,207600,162280,100836,1.8784,112
Belgium,Europe,1,11409077,154012,30528,111684,69397,0.7252,056
Belize,North-America,1,353858,2870,22966,5765,3582,2.0086,084
Benin,Africa,1,10741458,16000,112622,24308,15104,1.5192,204
Bermuda,North-America,1,70537,447,54,510,317,1.1413,null
Bhutan,Asia,1,750125,10578,38394,3814,2370,0.3606,064
Bolivia,South-America,1,10969649,80488,1098581,142300,88421,1.7680,068
Bosnia and Herzegovina,Europe,1,3861912,22926,51197,38986,24225,1.7005,070
Botswana,Africa,1,2209208,17916,581730,38067,23654,2.1248,072
Brazil,South-America,1,205823665,1580964,8514877,1201554,746611,0.7600,076
British Virgin Islands,North-America,1,34232,200,151,352,219,1.7622,null
Brunei,Asia,1,436620,3029,5765,2173,1350,0.7173,096
Bulgaria,Europe,1,7144653,19512,110879,79999,49709,4.1000,100
Burkina Faso,Africa,1,19512533,15272,274200,38254,23770,2.5049,854
Burma,Asia,1,56890418,34377,676578,69939,43458,2.0345,104
Burundi,Africa,1,11099298,12322,27830,17930,11141,1.4551,108
Cabo Verde,Africa,1,553432,1350,4033,2754,1711,2.0397,null
Cambodia,Asia,1,15957223,44709,181035,35501,22059,0.7940,116
Cameroon,Africa,1,24360803,51350,475440,77828,48360,1.5156,120
Canada,North-America,1,35362905,1042300,9984670,1124444,698697,1.0788,124
Cayman Islands,North-America,1,57268,785,264,880,547,1.1214,null
Central African Republic,Africa,1,5507257,20278,622984,24145,15003,1.1907,140
Chad,Africa,1,11852462,40000,1284000,28854,17929,0.7213,148
Chile,South-America,1,17650114,77764,756102,148187,92079,1.9056,152
China,Asia,1,1373541278,4106387,9596960,1504898,935100,0.3665,156
Colombia,South-America,1,47220856,204855,1138910,124645,77451,0.6085,170
Comoros,Africa,1,794678,880,2235,1291,802,1.4667,null
"Congo, Democratic Republic of the",Africa,1,81331050,153497,2344858,184703,114769,1.2033,180
"Congo, Republic of the",Africa,1,4852412,17000,342000,19016,11816,1.1186,178
Cook Islands,Oceania,1,9556,320,236,315,196,0.9857,null
Costa Rica,South-America,1,4872543,39018,51100,31307,19453,0.8024,188
Cote d'Ivoire,Africa,1,23740424,81996,322463,58508,36355,0.7135,384
Croatia,Europe,1,4313707,26958,56594,61691,38333,2.2884,191
Cuba,North-America,1,11179995,60858,110860,61527,38231,1.0110,192
Curacao,North-America,1,149035,550,444,1880,1168,3.4177,null
Cyprus,Europe,1,1205575,20006,9251,11088,6890,0.5543,196
Czechia,Europe,1,10644842,130661,78867,127291,79095,0.9742,203
Denmark,Europe,1,5593785,74497,43094,121888,75738,1.6362,208
Djibouti,Asia,1,846687,3065,23200,1994,1239,0.6506,262
Dominica,North-America,1,73757,1512,751,983,611,0.6503,null
Dominican Republic,North-America,1,10606865,19705,48670,32776,20366,1.6633,214
Ecuador,South-America,1,16080778,43670,283561,82854,51483,1.8973,218
Egypt,Africa,1,94666993,137430,1001450,89153,55397,0.6487,818
El Salvador,North-America,1,6156670,6918,21041,16563,10292,2.3942,222
Equatorial Guinea,Africa,1,759451,2880,28051,4097,2546,1.4227,226
Eritrea,Africa,1,5869869,4010,117600,5586,3471,1.3930,232
Estonia,Europe,1,1258545,58412,45228,48512,30144,0.8305,233
Ethiopia,Africa,1,102374044,110414,1104300,80435,49980,0.7285,231
